rank,token,length,is_special
0,a,1,False
1,b,1,False
2,c,1,False
3,d,1,False
4,e,1,False
5,f,1,False
6,g,1,False
7,h,1,False
8,i,1,False
9,j,1,False
10,k,1,False
11,l,1,False
12,m,1,False
13,n,1,False
14,o,1,False
15,p,1,False
16,r,1,False
17,s,1,False
18,t,1,False
19,u,1,False
20,v,1,False
21,w,1,False
22,x,1,False
23,y,1,False
24,z,1,False
25,ab,2,False
26,ac,2,False
27,ad,2,False
28,af,2,False
29,ag,2,False
30,al,2,False
31,an,2,False
32,ar,2,False
33,as,2,False
34,at,2,False
35,au,2,False
36,ba,2,False
37,be,2,False
38,bi,2,False
39,bl,2,False
40,bo,2,False
41,bu,2,False
42,ca,2,False
43,ce,2,False
44,ch,2,False
45,ci,2,False
46,ck,2,False
47,cl,2,False
48,co,2,False
49,cr,2,False
50,cu,2,False
51,da,2,False
52,de,2,False
53,dg,2,False
54,di,2,False
55,do,2,False
56,dr,2,False
57,du,2,False
58,ea,2,False
59,ee,2,False
60,eg,2,False
61,el,2,False
62,en,2,False
63,er,2,False
64,es,2,False
65,ex,2,False
66,ey,2,False
67,fa,2,False
68,fe,2,False
69,fi,2,False
70,fl,2,False
71,fo,2,False
72,fu,2,False
73,ga,2,False
74,ge,2,False
75,gh,2,False
76,gi,2,False
77,go,2,False
78,gr,2,False
79,gu,2,False
80,ha,2,False
81,he,2,False
82,hi,2,False
83,ho,2,False
84,hu,2,False
85,im,2,False
86,in,2,False
87,ir,2,False
88,is,2,False
89,it,2,False
90,je,2,False
91,jo,2,False
92,ju,2,False
93,la,2,False
94,ld,2,False
95,le,2,False
96,li,2,False
97,ll,2,False
98,lo,2,False
99,lu,2,False
100,ly,2,False
101,ma,2,False
102,mb,2,False
103,me,2,False
104,mi,2,False
105,mo,2,False
106,mp,2,False
107,mu,2,False
108,na,2,False
109,ne,2,False
110,ni,2,False
111,no,2,False
112,ob,2,False
113,oc,2,False
114,of,2,False
115,ol,2,False
116,om,2,False
117,on,2,False
118,op,2,False
119,or,2,False
120,ou,2,False
121,pa,2,False
